id	name	capacity	slots	lon	lat	district	address	address_note
235	Пункт проката велосипедов № 368	12	12	37.608093	55.659191	район Зюзино	Симферопольский бульвар, дом 4	
236	Пункт проката велосипедов № 71	12	12	37.616029	55.73895	район Якиманка	улица Большая Якиманка, дом 18	
237	Пункт проката велосипедов № 80	12	12	37.626464	55.745814	район Замоскворечье	улица Пятницкая, дом 2/38	
238	Пункт проката велосипедов № 443	12	12	37.636617	55.808565	Останкинский район	Проспект Мира, дом 97	
239	Пункт проката велосипедов № 451	12	12	37.636551	55.837144	Останкинский район	улица Сельскохозяйственная, дом 17, корпус 1	
240	Пункт проката велосипедов № 55	12	12	37.589738	55.740126	район Хамовники	улица Пречистенка, дом 34	
241	Пункт проката велосипедов № 389	12	12	37.495249	55.655932	район Тропарёво-Никулино	Улица 26-ти Бакинских Комиссаров, дом 2 Б	
242	Пункт проката велосипедов № 391	12	12	37.606796	55.663717	район Зюзино	Нахимовский проспект, дом 11, корпус 1	
243	Пункт проката велосипедов № 393	12	12	37.571113	55.674873	район Черёмушки	Нахимовский проспект, дом 45, строение 1	
244	Пункт проката велосипедов № 388	12	12	37.619266	55.645199	район Москворечье-Сабурово	Варшавское шоссе, дом 100	
245	Пункт проката велосипедов № 60	12	12	37.608656	55.757438	Тверской район	Газетный переулок, дом 6	
246	Пункт проката велосипедов № 396	12	12	37.595485	55.679562	Академический район	улица Дмитрия Ульянова, дом 46	
247	Пункт проката велосипедов № 151	12	12	37.623162	55.729074	район Замоскворечье	улица Люсиновская, дом 2, строение 5	Выход станции метро «Добрынинская»
248	Пункт проката велосипедов № 390	12	12	37.518875	55.652432	Обручевский район	улица Академика Волгина, дом 6	
249	Пункт проката велосипедов № 395	12	12	37.582777	55.684571	Академический район	улица Дмитрия Ульянова, дом 32 А	
250	Пункт проката велосипедов № 84	12	12	37.635113	55.737552	район Замоскворечье	улица Большая Татарская, дом 35, строение 3	
251	Пункт проката велосипедов № 397	12	12	37.574462	55.688201	Академический район	проспект 60-летия Октября, дом 31/18, корпус 1, строение 2	
252	Пункт проката велосипедов № 376	12	12	37.582171	55.645488	район Зюзино	Балаклавский проспект, дом 34 корпус 1	
253	Пункт проката велосипедов № 326	12	12	37.580711	55.653507	район Зюзино	улица Каховка, дом 10/12, корпус 1	
254	Пункт проката велосипедов № 339	12	12	37.514881	55.658798	Обручевский район	улица Обручева, дом 16, корпус 1	
255	Пункт проката велосипедов № 423	12	12	37.61539	55.802913	район Марьина Роща	улица Шереметьевская, дом 27	
256	Пункт проката велосипедов № 463	12	12	37.650337	55.776218	Красносельский район	улица Каланчевская, дом 10, строение 3	
257	Пункт проката велосипедов № 327	12	12	37.589172	55.651447	Обручевский район	улица Каховка, дом 9, корпус 1	
258	Пункт проката велосипедов № 381	12	12	37.512929	55.648343	район Коньково	улица Академика Волгина, дом 21	
259	Пункт проката велосипедов № 325	12	12	37.594161	55.659076	район Зюзино	улица Болотниковская, дом 34, корпус 1	
260	Пункт проката велосипедов № 338	12	12	37.526493	55.667076	Обручевский район	пересечение улицы Новаторов и улицы Воронцовские Пруды	Вход в Воронцовский парк
261	Пункт проката велосипедов № 250	12	12	37.539165	55.747509	Пресненский район	Пресненская набережная, дом 6, строение 2	территория Москва-Сити, Башня Империя
262	Пункт проката велосипедов № 251	12	12	37.540904	55.751911	Пресненский район	1-й Красногвардейский проезд, дом 13, строение 1	территория Москва-Сити, Башня Империя
263	Пункт проката велосипедов № 328	12	12	37.60453	55.641757	район Зюзино	Балаклавский проспект, дом 16	
264	Пункт проката велосипедов № 309	12	12	37.571292	55.665069	район Черёмушки	улица Болотниковская, парк 70-летия Победы	
265	Пункт проката велосипедов № 416	12	12	37.602809	55.792434	район Марьина Роща	улица Сущевский Вал, дом 16, строение 1	
266	Пункт проката велосипедов № 392	12	12	37.603679	55.675312	район Котловка	улица Ремизова, дом 15 корпус 1	
267	Пункт проката велосипедов № 85	12	12	37.645381	55.748229	Таганский район	Котельническая набережная, дом 1/15квк	
268	Пункт проката велосипедов № 348	12	12	37.517116	55.716167	район Раменки	улица Мосфильмовская, дом 17-25	
269	Пункт проката велосипедов № 337	12	12	37.534259	55.668342	Обручевский район	улица Академика Пилюгина, дом 18	
270	Пункт проката велосипедов № 307	12	12	37.577945	55.701175	Гагаринский район	улица Вавилова, дом 24	
271	Пункт проката велосипедов № 125	12	12	37.6333	55.77293	Мещанский район	Проспект Мира, дом 2	
272	Пункт проката велосипедов № 129	12	12	37.645046	55.770996	Красносельский район	Орликов переулок, дом 1/11	со стороны проспекта Академика Сахарова
273	Пункт проката велосипедов № 103	12	12	37.584668	55.74049	район Хамовники	Смоленский бульвар,дом 3-5, строение 1 Б	
274	Пункт проката велосипедов № 248	12	12	37.557608	55.746254	район Дорогомилово	улица Большая Дорогомиловская, дом7/2	
275	Пункт проката велосипедов № 394	12	12	37.562854	55.67741	район Черёмушки	Нахимовский проспект, дом 51/21	Выход станции метро «Профсоюзная»
276	Пункт проката велосипедов № 335	12	12	37.539333	55.656261	Обручевский район	улица Профсоюзная, дом 82, корпус 1	
277	Пункт проката велосипедов № 439	12	12	37.632133	55.776031	Мещанский район	Проспект Мира, дом 11	
278	Пункт проката велосипедов № 322	12	12	37.520408	55.670425	Обручевский район	Ленинский проспект, дом 99	
279	Пункт проката велосипедов № 336	12	12	37.53202	55.650684	район Коньково	улица Профсоюзная, дом 88/20	
280	Пункт проката велосипедов № 465	12	12	37.617248	55.824314	Останкинский район	улица 1-я Останкинская, дом 1 А	
281	Пункт проката велосипедов № 407	12	12	37.607856	55.780651	Тверской район	улица Селезневская, дом 28	
282	Пункт проката велосипедов № 398	12	12	37.618324	55.653102	Нагорный район	Чонгарский бульвар, дом 1, корпус 1	
283	Пункт проката велосипедов № 484	12	12	37.588375	55.812377	Бутырский район	улица Руставели, дом 6, корпус 5	
284	Пункт проката велосипедов № 445	12	12	37.64722	55.827526	Останкинский район	Улица Сергея Эйзенштейна, дом 1	
285	Пункт проката велосипедов № 474	12	12	37.634063	55.82344	Останкинский район	1-я Останкинская улица, дом 55	
286	Пункт проката велосипедов № 399	12	12	37.605651	55.653751	Нагорный район	Симферопольский бульвар, дом 15, корпус 5	
287	Пункт проката велосипедов № 329	12	12	37.537874	55.675732	Ломоносовский район	улица Гарибальди, дом 6, корпус 1	
288	Пункт проката велосипедов № 473	12	12	37.604133	55.821704	Останкинский район	улица академика Королева, дом 12А	
289	Пункт проката велосипедов № 252	8	8	37.586429	55.734264	район Хамовники	улица Льва Толстого, дом 21	
290	Пункт проката велосипедов № 408	12	12	37.59643	55.784342	Тверской район	улица Лесная , дом 63/43 строение 2	
291	Пункт проката велосипедов № 453	12	12	37.590302	55.856122	район Отрадное	станция метро «Владыкино»	Выход станции метро «Владыкино»
292	Пункт проката велосипедов № 485	12	12	37.574114	55.819238	Тимирязевский район	Дмитровское шоссе, дом 13 А	Выход станции метро «Тимирязевская»
293	Пункт проката велосипедов № 404	12	12	37.601275	55.778786	Тверской район	улица Долгоруковская, дом 39/6	
294	Пункт проката велосипедов № 46	12	12	37.6521	55.767	Тверской район	улица Тверская, дом 20, строение 1	
295	Пункт проката велосипедов № 157	32	32	37.605051	55.731962	район Якиманка	улица Крымский вал, дом 9, строение 1	
296	Пункт проката велосипедов № 245	18	18	37.56924	55.742321	район Дорогомилово	площадь Европы, дом 2	
297	Пункт проката велосипедов № 452	12	12	37.63701	55.843133	район Ростокино	станция метро «Ботанический сад»	Выход станции метро «Ботанический сад»
298	Пункт проката велосипедов № 33	12	12	37.617189	55.763147	Тверской район	Столешников переулок, дом 11	
299	Пункт проката велосипедов № 342	12	12	37.529504	55.723348	район Раменки	улица Мосфильмовская, дом 1, строение 4	
300	Пункт проката велосипедов № 483	32	32	37.659304	55.776629	Красносельский район	Комсомольская площадь, дом 5	
